year,region,powertrain,mode,EV sales,EV sales share,EV stock,EV stock share,Electricity demand,EV sales_yoy,EV sales share_yoy,EV stock_yoy,EV stock share_yoy,Electricity demand_yoy
2011,Australia,BEV,Cars,49.0,0.0,49.0,0.0,0.0,,,,,
2012,Australia,BEV,Cars,170.0,0.0,220.0,0.0,0.0,2.4693877551020407,,3.4897959183673466,,
2013,Australia,BEV,Cars,190.0,0.0,410.0,0.0,0.0,0.11764705882352944,,0.8636363636363635,,
2014,Australia,BEV,Cars,370.0,0.0,780.0,0.0,0.0,0.9473684210526316,,0.9024390243902438,,
2015,Australia,BEV,Cars,760.0,0.0,1500.0,0.0,0.0,1.054054054054054,,0.9230769230769231,,
2016,Australia,BEV,Cars,670.0,0.0,2200.0,0.0,0.0,-0.11842105263157898,,0.46666666666666656,,
2017,Australia,BEV,Cars,1200.0,0.0,3400.0,0.0,0.0,0.791044776119403,,0.5454545454545454,,
2018,Australia,BEV,Cars,1800.0,0.0,5200.0,0.0,0.0,0.5,,0.5294117647058822,,
2019,Australia,BEV,Cars,6300.0,0.0,12000.0,0.0,0.0,2.5,,1.3076923076923075,,
2020,Australia,BEV,Cars,5200.0,0.0,17000.0,0.0,0.0,-0.17460317460317465,,0.41666666666666674,,
2021,Australia,BEV,Cars,17000.0,0.0,34000.0,0.0,0.0,2.269230769230769,,1.0,,
2022,Australia,BEV,Cars,33000.0,0.0,67000.0,0.0,0.0,0.9411764705882353,,0.9705882352941178,,
2023,Australia,BEV,Cars,87000.0,0.0,150000.0,0.0,0.0,1.6363636363636362,,1.2388059701492535,,
2011,Australia,EV,Cars,0.0,0.00650000013411,0.0,0.000390000001062,0.0,,,,,
2012,Australia,EV,Cars,0.0,0.029999999329448,0.0,0.002400000113994,0.0,,3.615384416996738,,5.153846429381064,
2013,Australia,EV,Cars,0.0,0.034000001847744,0.0,0.004600000102073,0.0,,0.13333342025676642,,0.9166666181602108,
2014,Australia,EV,Cars,0.0,0.159999996423721,0.0,0.014000000432134,0.0,,3.7058819920134054,,2.0434782872776176,
2015,Australia,EV,Cars,0.0,0.200000002980232,0.0,0.027000000700355,0.0,,0.2500000465661305,,0.9285714190681227,
2016,Australia,EV,Cars,0.0,0.150000005960464,0.0,0.037000000476837,0.0,,-0.24999998137355017,,0.37037035248486183,
2017,Australia,EV,Cars,0.0,0.259999990463257,0.0,0.052000001072884,0.0,,0.7333332008785789,,0.40540541629012705,
2018,Australia,EV,Cars,0.0,0.419999986886978,0.0,0.076999999582768,0.0,,0.6153846242018692,,0.4807691921937389,
2019,Australia,EV,Cars,0.0,1.20000004768372,0.0,0.140000000596046,0.0,,1.8571430598797618,,0.8181818357746709,
